"Needle Position","Needle-Haystack Similarity","Needle Question Similarity","Needle","Question","Answer","Latency","Review","Score"
"0.2","0.76","0.1999","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What makes a victory mentally cheaper?","The document does not contain information about what makes a victory mentally cheaper.","9.842345476150513","No","0.0"
"0.2","0.76","0.4018","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","Does attributing good results to ability lower mental demand?","Yes, attributing good results to ability leads to less required cognitive processing effort for the task.","1.9987294673919678","Yes","10.0"
"0.2","0.76","0.6092","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What effect does a favorable self‑judgment have on the depth of cognitive processing in a task?","A favorable self-judgment leads to less required cognitive processing effort for the task.","12.145253658294678","Yes","10.0"
"0.2","0.76","0.7942","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What impact does self attribution bias have on mental effort for evaluating successes?","Self-attribution bias leads individuals to judge positive outcomes, which results in less required cognitive processing effort for the task.","4.155689716339111","Yes","10.0"
"0.30000000000000004","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information about the derivation of frequency metrics within a controlled simulation as indicative of a novel paradigm for selection criteria.","3.7939467430114746","No","0.0"
"0.30000000000000004","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","No, the document does not suggest that calculating the frequency of units in a standardized trial can establish a fresh technique for alternative assessment.","2.3293418884277344","No","0.0"
"0.30000000000000004","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","The document does not contain information about tracking unit frequency within a system test as a new way to compare options.","4.390835285186768","No","0.0"
"0.30000000000000004","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, the document states that reporting and measuring item rates in a system test can reveal a new way to compare options.","3.435788869857788","Yes","10.0"
"0.30000000000000004","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","The document does not contain information about the systematic logging of defects and its effect on subsequent operational selection.","3.1823813915252686","No","0.0"
"0.30000000000000004","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","The document does not contain information about whether the transcription of adverse events is correlated with enhanced decision competence over time.","2.346161127090454","No","0.0"
"0.30000000000000004","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","2.513221502304077","Yes","10.0"
"0.30000000000000004","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","2.481095552444458","Yes","10.0"
"0.30000000000000004","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","Automation bias.","9.052072763442993","No","0.0"
"0.30000000000000004","0.6","0.3921","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to accuracy when users rely solely on protocol faith instead of their own critique?","When users rely solely on protocol faith instead of their own critique, it can lead to errors of commission, where users follow an automated directive without considering other information. This can also result in users making assessments too hastily.","3.2705249786376953","No","0.0"
"0.30000000000000004","0.6","0.6088","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to error patterns when people treat software outputs as more reliable than their own judgment?","When people treat software outputs as more reliable than their own judgment, it leads to automation bias. This bias manifests as commission errors (following automated directives without considering other information) and omission errors (failing to notice problems the automated system misses).","2.6573996543884277","No","0.0"
"0.30000000000000004","0.6","0.804","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What does research on human tendency in different situations show about individual beliefs on system process?","Research on human tendency in different situations shows that individual beliefs on the system process without personal judgment are related to a higher rate of errors.","3.1204962730407715","Yes","10.0"
"0.30000000000000004","0.76","0.1999","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What makes a victory mentally cheaper?","The document does not contain information about what makes a victory ""mentally cheaper.""","3.0530998706817627","No","0.0"
"0.30000000000000004","0.76","0.4018","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","Does attributing good results to ability lower mental demand?","Yes, self-attribution bias, which leads individuals to judge positive outcomes, results in less required cognitive processing effort for the task.","4.227588653564453","Yes","10.0"
"0.30000000000000004","0.76","0.6092","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What effect does a favorable self‑judgment have on the depth of cognitive processing in a task?","A favorable self-judgment leads to less required cognitive processing effort for a task.","3.7827510833740234","Yes","8.0"
"0.30000000000000004","0.76","0.7942","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What impact does self attribution bias have on mental effort for evaluating successes?","Self-attribution bias leads individuals to judge positive outcomes, which results in less required cognitive processing effort for the task.","3.3375260829925537","Yes","10.0"
"0.4","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information to answer whether the derivation of frequency metrics within a controlled simulation is indicative of a novel paradigm for selection criteria.","4.327978610992432","No","0.0"
"0.4","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","The document does not contain information to establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial.","3.187030553817749","No","0.0"
"0.4","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","Yes, report and measure item rate in a system test to show a new way to compare options.","6.023881912231445","Yes","10.0"
"0.4","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, reporting and measuring item rates in a system test can reveal a new way to compare options.","5.284215688705444","Yes","10.0"
"0.4","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","The document does not contain information about whether the systematic logging of defects results in a measurable improvement in subsequent operational selection.","4.3777687549591064","No","0.0"
"0.4","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","The document does not contain information about whether the transcription of adverse events is correlated with enhanced decision competence over time.","3.1482112407684326","No","0.0"
"0.4","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","3.27095365524292","Yes","10.0"
"0.4","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","4.938693046569824","Yes","10.0"
"0.4","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","Automation bias.","3.8026375770568848","No","0.0"
"0.4","0.6","0.3921","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to accuracy when users rely solely on protocol faith instead of their own critique?","When users rely solely on protocol faith instead of their own critique, automation bias can lead to errors of commission (following an automated directive without considering other information) or omission (failing to notice problems because of over-reliance on the system). This can result in users changing a correct decision they made on their own to an incorrect one, or missing critical information.","5.929327964782715","No","0.0"
"0.4","0.6","0.6088","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to error patterns when people treat software outputs as more reliable than their own judgment?","When people treat software outputs as more reliable than their own judgment, it leads to automation bias. This bias manifests as commission errors (following automated directives without considering other information) and omission errors (failing to notice problems because of over-reliance on the system).","9.772104263305664","No","0.0"
"0.4","0.6","0.804","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What does research on human tendency in different situations show about individual beliefs on system process?","Research on human tendency in different situations shows that individual beliefs on system process without personal judgment are related to a higher rate of errors.","2.563194513320923","Yes","10.0"
"0.4","0.76","0.1999","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What makes a victory mentally cheaper?","The document does not contain information about what makes a victory ""mentally cheaper.""","3.5330398082733154","No","0.0"
"0.4","0.76","0.4018","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","Does attributing good results to ability lower mental demand?","Yes, attributing good results to ability leads to less required cognitive processing effort for the task.","2.888490676879883","Yes","8.0"
"0.4","0.76","0.6092","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What effect does a favorable self‑judgment have on the depth of cognitive processing in a task?","A favorable self-judgment leads to less required cognitive processing effort for a task.","3.1141574382781982","Yes","8.0"
"0.4","0.76","0.7942","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What impact does self attribution bias have on mental effort for evaluating successes?","Self-attribution bias leads individuals to judge positive outcomes, which results in less required cognitive processing effort for the task.","2.6027989387512207","Yes","10.0"
"0.5","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information to answer whether the derivation of frequency metrics within a controlled simulation is indicative of a novel paradigm for selection criteria.","3.702298641204834","No","0.0"
"0.5","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","No, the document does not provide information to establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial.","7.538881540298462","No","0.0"
"0.5","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","Yes, the document states that reporting and measuring item rate in a system test can show a new way to compare options.","25.065942764282227","Yes","10.0"
"0.5","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, the document states that reporting and measuring item rates in a system test can reveal a new way to compare options.","102.02692937850952","Yes","10.0"
"0.5","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","The document does not contain information about whether the systematic logging of defects results in a measurable improvement in subsequent operational selection.","14.26131558418274","No","0.0"
"0.5","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","The document does not contain information about whether the transcription of adverse events is correlated with enhanced decision competence over time.","54.7295458316803","No","0.0"
"0.5","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","83.1931381225586","Yes","10.0"
"0.5","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","19.171228647232056","Yes","10.0"
"0.5","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","The curse that activates when humans become yes-men to computers is automation bias.","34.65844488143921","No","0.0"
"0.5","0.6","0.3921","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to accuracy when users rely solely on protocol faith instead of their own critique?","When users rely solely on protocol faith instead of their own critique, automation bias can lead to errors. This occurs when users follow automated directives without considering other information, or fail to notice problems because they are not properly monitoring the system.","216.98773097991943","","503.0"
"0.5","0.6","0.6088","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to error patterns when people treat software outputs as more reliable than their own judgment?","When people treat software outputs as more reliable than their own judgment, it leads to automation bias. This bias manifests as commission errors (following automated directives without considering other information) and omission errors (failing to notice automation failures due to low vigilance or overtrust).","12.855234861373901","","503.0"
"0.5","0.6","0.804","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What does research on human tendency in different situations show about individual beliefs on system process?","Research on system bias and human tendency in different situations shows that individual beliefs on the system process without personal judgment are related to a higher rate of errors.","5.2121946811676025","","503.0"
"0.5","0.76","0.1999","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What makes a victory mentally cheaper?","The document does not contain information about what makes a victory mentally cheaper.","4.948980093002319","No","0.0"
"0.5","0.76","0.4018","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","Does attributing good results to ability lower mental demand?","Yes, self-attribution bias, which involves judging positive outcomes and attributing them to one's own abilities, results in less required cognitive processing effort for the task.","11.292566537857056","","503.0"
"0.5","0.76","0.6092","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What effect does a favorable self‑judgment have on the depth of cognitive processing in a task?","A favorable self-judgment leads to less required cognitive processing effort for the task.","5.980187177658081","Yes","8.0"
"0.5","0.76","0.7942","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What impact does self attribution bias have on mental effort for evaluating successes?","Self-attribution bias leads individuals to judge positive outcomes, which results in less required cognitive processing effort for the task.","4.22732400894165","Yes","10.0"
"0.6000000000000001","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information about the derivation of frequency metrics within a controlled simulation as a novel paradigm for selection criteria.","4.610493183135986","No","0.0"
"0.6000000000000001","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","The document does not contain information about establishing a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial.","5.100810766220093","No","0.0"
"0.6000000000000001","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","Yes, tracking unit frequency within a system test can offer a new way to compare options.","8.478781938552856","No","0.0"
"0.6000000000000001","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, a fresh approach to comparing alternatives is revealed by reporting on item rates within system tests.","4.41239333152771","No","0.0"
"0.6000000000000001","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","The document does not contain information about whether the systematic logging of defects results in a measurable improvement in subsequent operational selection.","17.052912712097168","","503.0"
"0.6000000000000001","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","The document does not contain information about whether the transcription of adverse events is correlated with enhanced decision competence over time.","9.920600414276123","No","0.0"
"0.6000000000000001","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","13.980669736862183","Yes","10.0"
"0.6000000000000001","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","10.080681324005127","Yes","10.0"
"0.6000000000000001","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","The curse that activates when humans become yes-men to computers is automation bias.","5.03596568107605","No","0.0"
